symbol,name,exchange,instrument_type,universe,provider_symbol,effective_from,effective_to,source,source_reference
CWENE,CW Enerji Muhendisligi ve Ticaret A.S.,BIST,STOCK,BIST100,CWENE.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
DOAS,Dogus Otomotiv Servis ve Ticaret A.S.,BIST,STOCK,BIST100,DOAS.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
DOHOL,Dogan Sirketler Grubu Holding A.S.,BIST,STOCK,BIST100,DOHOL.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ECILC,Eczacibasi Ilac San. ve Tic. A.S.,BIST,STOCK,BIST100,ECILC.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ECZYT,Eczacibasi Yatirim Holding Ortakligi A.S.,BIST,STOCK,BIST100,ECZYT.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
EKGYO,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,BIST,STOCK,BIST100,EKGYO.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ENJSA,Enerjisa Enerji A.S.,BIST,STOCK,BIST100,ENJSA.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ENKAI,Enka Insaat ve Sanayi A.S.,BIST,STOCK,BIST100,ENKAI.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
EREGL,Eregli Demir ve Celik Fabrikalari T.A.S.,BIST,STOCK,BIST100,EREGL.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ESEN,Esen Tarlabasin Gayrimenkul Yatirim Ortakligi A.S.,BIST,STOCK,BIST100,ESEN.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
EUPWR,Europower Enerji ve Otomasyon Teknolojileri A.S.,BIST,STOCK,BIST100,EUPWR.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
EUREN,Euro Yatirim Holding A.S.,BIST,STOCK,BIST100,EUREN.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
FROTO,Ford Otomotiv Sanayi A.S.,BIST,STOCK,BIST100,FROTO.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
GARAN,Turkiye Garanti Bankasi A.S.,BIST,STOCK,BIST100,GARAN.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
GESAN,Gunes Sigorta A.S.,BIST,STOCK,BIST100,GESAN.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
GUBRF,Gubre Fabrikalari T.A.S.,BIST,STOCK,BIST100,GUBRF.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
GWIND,Guris Dogal Enerji A.S.,BIST,STOCK,BIST100,GWIND.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
HALKB,Turkiye Halk Bankasi A.S.,BIST,STOCK,BIST100,HALKB.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
HEKTS,Hektas Ticaret T.A.S.,BIST,STOCK,BIST100,HEKTS.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
IEYHO,IE Yatirim Holding A.S.,BIST,STOCK,BIST100,IEYHO.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ISCTR,Turkiye Is Bankasi A.S.,BIST,STOCK,BIST100,ISCTR.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ISGYO,Is Gayrimenkul Yatirim Ortakligi A.S.,BIST,STOCK,BIST100,ISGYO.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ISMEN,Is Yatirim Menkul Degerler A.S.,BIST,STOCK,BIST100,ISMEN.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
IZENR,Izmir Enerji A.S.,BIST,STOCK,BIST100,IZENR.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
KARSN,Karsan Otomotiv Sanayii ve Ticaret A.S.,BIST,STOCK,BIST100,KARSN.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
KAYSE,Kayseri Seker Fabrikasi A.S.,BIST,STOCK,BIST100,KAYSE.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
KCHOL,Koc Holding A.S.,BIST,STOCK,BIST100,KCHOL.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
KLRHO,Kiler GYO A.S.,BIST,STOCK,BIST100,KLRHO.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
KLSER,Kiler Alisveris Hizmetleri Gida San. ve Tic. A.S.,BIST,STOCK,BIST100,KLSER.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
KMPUR,Kimpurtakas Kimya San. ve Tic. A.S.,BIST,STOCK,BIST100,KMPUR.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
KONTR,Kontrolmatik Teknoloji A.S.,BIST,STOCK,BIST100,KONTR.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
KONYA,Konya Cimento Sanayii A.S.,BIST,STOCK,BIST100,KONYA.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
KORDS,Kordsa Global Endustriyel Iplik ve Kord Bezi San. ve Tic. A.S.,BIST,STOCK,BIST100,KORDS.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
KRDMD,Kardemir Karabuk Demir Celik Sanayi ve Ticaret A.S.,BIST,STOCK,BIST100,KRDMD.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
MAVI,Mavi Giyim Sanayi ve Ticaret A.S.,BIST,STOCK,BIST100,MAVI.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
MGROS,Migros Ticaret A.S.,BIST,STOCK,BIST100,MGROS.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
MIATK,MIA Teknoloji A.S.,BIST,STOCK,BIST100,MIATK.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ODAS,Odas Elektrik Uretim Sanayi Ticaret A.S.,BIST,STOCK,BIST100,ODAS.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ODINE,Odin Tekstil San. ve Tic. A.S.,BIST,STOCK,BIST100,ODINE.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
OTKAR,Otokar Otomotiv ve Savunma Sanayii A.S.,BIST,STOCK,BIST100,OTKAR.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
OYAKC,Oyak Cimento Fabrikalari A.S.,BIST,STOCK,BIST100,OYAKC.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
PAHOL,Pera GSYO A.S.,BIST,STOCK,BIST100,PAHOL.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
PENTA,Penta Teknoloji Urunleri Dagitim Ticaret A.S.,BIST,STOCK,BIST100,PENTA.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
PETKM,Petkim Petrokimya Holding A.S.,BIST,STOCK,BIST100,PETKM.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
PGSUS,Pegasus Hava Tasimaciligi A.S.,BIST,STOCK,BIST100,PGSUS.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
QUAGR,Qua Granite Hayal Yapi Urunleri San. ve Tic. A.S.,BIST,STOCK,BIST100,QUAGR.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
SAHOL,Haci Omer Sabanci Holding A.S.,BIST,STOCK,BIST100,SAHOL.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
SASA,Sasa Polyester Sanayi A.S.,BIST,STOCK,BIST100,SASA.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
SAYAS,Sayas Ayakkabi Uretim Paz. ve Tic. A.S.,BIST,STOCK,BIST100,SAYAS.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
SISE,Turkiye Sise ve Cam Fabrikalari A.S.,BIST,STOCK,BIST100,SISE.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
SKBNK,Sekerbank T.A.S.,BIST,STOCK,BIST100,SKBNK.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
SMRTG,Smart Gunes Enerjisi Teknolojileri A.S.,BIST,STOCK,BIST100,SMRTG.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
SOKM,Sok Marketler Ticaret A.S.,BIST,STOCK,BIST100,SOKM.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
TAVHL,TAV Havalimanlari Holding A.S.,BIST,STOCK,BIST100,TAVHL.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
TCELL,Turkcell Iletisim Hizmetleri A.S.,BIST,STOCK,BIST100,TCELL.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
THYAO,Turk Hava Yollari A.O.,BIST,STOCK,BIST100,THYAO.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
TKFEN,Tekfen Holding A.S.,BIST,STOCK,BIST100,TKFEN.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
TOASO,Tofas Turk Otomobil Fabrikasi A.S.,BIST,STOCK,BIST100,TOASO.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
TRALT,Turk Altin Arama Sanayii ve Ticaret A.S.,BIST,STOCK,BIST100,TRALT.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
TRENJ,Turk Enerji A.S.,BIST,STOCK,BIST100,TRENJ.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
TRMET,Turk Metal Madencilik Sanayii ve Ticaret A.S.,BIST,STOCK,BIST100,TRMET.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
TSKB,Turkiye Sinai Kalkinma Bankasi A.S.,BIST,STOCK,BIST100,TSKB.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
TTKOM,Turk Telekomunikasyon A.S.,BIST,STOCK,BIST100,TTKOM.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
TTRAK,Turk Traktor ve Ziraat Makineleri A.S.,BIST,STOCK,BIST100,TTRAK.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
TUKAS,Tukenmez Kalem Sanayi ve Ticaret A.S.,BIST,STOCK,BIST100,TUKAS.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
TUPRS,Tupras Turkiye Petrol Rafinerileri A.S.,BIST,STOCK,BIST100,TUPRS.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ULKER,Ulker Biskuvi Sanayi A.S.,BIST,STOCK,BIST100,ULKER.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
VAKBN,Turkiye Vakiflar Bankasi T.A.O.,BIST,STOCK,BIST100,VAKBN.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
VESBE,Vestel Beyaz Esya Sanayi ve Ticaret A.S.,BIST,STOCK,BIST100,VESBE.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
VESTL,Vestel Elektronik Sanayi ve Ticaret A.S.,BIST,STOCK,BIST100,VESTL.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
YEOTK,Ye Otomotik A.S.,BIST,STOCK,BIST100,YEOTK.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
YKBNK,Yapi ve Kredi Bankasi A.S.,BIST,STOCK,BIST100,YKBNK.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
YYLGD,Yayla Agro Gida Sanayi ve Ticaret A.S.,BIST,STOCK,BIST100,YYLGD.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
ZOREN,Zorlu Enerji Elektrik Uretim A.S.,BIST,STOCK,BIST100,ZOREN.IS,2026-07-01,2026-09-30,BORSA_ISTANBUL,https://kap.org.tr/tr/Endeksler
